time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-5.91517458861,-2.6880503082,0,-2.81477838813e-06,0.00159528678381,-6.33748892273e-05,0.999998725517,-0.261282089568,1.2293845502e-05,0.0,0,0,0.04452325503
0,-5.92378375369,-2.68805494394,0,-3.52935500686e-06,0.00159944242174,0.000641815639554,0.999998514921,-0.260400597331,-4.49652100809e-06,0.0,0,0,0.0406134079421
0,-5.93262167621,-2.68806763137,0,-3.33702192956e-06,0.00160279305631,0.00115681800751,0.999998046406,-0.259445958194,0.000431992555114,0.0,0,0,0.0228398623395
0,-5.94118771812,-2.68809123632,0,-7.22768063351e-06,0.0015976277698,0.00166599560651,0.999997335992,-0.258672156477,5.1049555441e-06,0.0,0,0,0.0370324068436
0,-5.94972621478,-2.68812537253,0,-4.55778501031e-06,0.00159609023977,0.00226646053895,0.999996157809,-0.258681541927,-1.31289831655e-05,0.0,0,0,0.036487167572
0,-5.95852249699,-2.68816997312,0,-5.12746429323e-06,0.00159127242376,0.0027512220856,0.999994949289,-0.258799696548,-3.09390880915e-06,0.0,0,0,0.028780903781
0,-5.96706892365,-2.68822113031,0,-6.0660312049e-06,0.00158767381963,0.00322979548742,0.999993523817,-0.259190890514,1.93544018999e-05,0.0,0,0,0.028981455734
0,-5.97563034303,-2.68827988032,0,-7.0529610834e-06,0.0015855940987,0.00370708537326,0.999991871647,-0.259651153456,2.85961953912e-05,0.0,0,0,0.0290207935535
0,-5.98446616299,-2.68834794726,0,-8.17273802684e-06,0.00158467124411,0.0040688485662,0.999990466565,-0.260108032887,3.01125265871e-05,0.0,0,0,0.0211336488614
0,-5.9930572247,-2.68842008485,0,-9.06485583208e-06,0.001585289905,0.00441767229399,0.999988985412,-0.260568823144,3.10066742872e-05,0.0,0,0,0.0212185751811
0,-6.00166304696,-2.68849841145,0,-1.04522097851e-05,0.00158792152485,0.00477117712217,0.999987357053,-0.261011407393,2.87388748654e-05,0.0,0,0,0.0214824240736
0,-6.01054134345,-2.6885867961,0,-1.23921041851e-05,0.00159213741974,0.00526674645477,0.999984863049,-0.261197477355,2.89497936204e-05,0.0,0,0,0.0285681534305
0,-6.01915798586,-2.68868091369,0,-1.32317070378e-05,0.00159661220042,0.00572181996807,0.99998235556,-0.260998305755,1.68426515302e-05,0.0,0,0,0.0266894319022
0,-6.02775905258,-2.68878328216,0,-1.17869987114e-05,0.0015981955629,0.00613834499526,0.999979882974,-0.26019902288,-6.6019297353e-05,0.0,0,0,0.0225438503447
0,-6.03658856089,-2.68888975805,0,-1.50281559565e-05,0.00160593713109,0.00632857160935,0.999978684734,-0.259444008306,0.00022090498613,0.0,0,0,0.006990262006
0,-6.04516123671,-2.68899997966,0,-1.57480861041e-05,0.0015963759354,0.00654734979225,0.999977291515,-0.258922989395,6.17591321457e-05,0.0,0,0,0.0188549489943
0,-6.05369810065,-2.68911450773,0,-1.11552703574e-05,0.00159595800651,0.00686704475187,0.999975147936,-0.258719478943,4.30953322813e-06,0.0,0,0,0.0191608247604
0,-6.06249516637,-2.68923751146,0,-1.13941319681e-05,0.00159116456746,0.00710962401028,0.999973460304,-0.258843880754,6.24728186308e-06,0.0,0,0,0.0147761732146
0,-6.07104171658,-2.68936105465,0,-1.22788831985e-05,0.00158754091101,0.00735961028604,0.999971657448,-0.259185525091,1.25751428779e-05,0.0,0,0,0.0153811689483
0,-6.07960160668,-2.6894889046,0,-1.32900823235e-05,0.00158535897183,0.00761397064686,0.999969756498,-0.259627305214,1.99496921553e-05,0.0,0,0,0.0155152896002
